School,Date,SchoolYear,Enrolled,Absent
01M015,2009-09-09,20092010,210.0,36.0
01M015,2009-09-10,20092010,215.0,22.0
01M015,2009-09-11,20092010,213.0,28.0
01M015,2009-09-14,20092010,214.0,15.0
01M015,2009-09-15,20092010,214.0,20.0
01M015,2009-09-16,20092010,211.0,10.0
01M015,2009-09-17,20092010,215.0,8.0
01M015,2009-09-18,20092010,214.0,18.0
01M015,2009-09-21,20092010,213.0,18.0
01M015,2009-09-22,20092010,213.0,9.0
01M015,2009-09-23,20092010,213.0,19.0
01M015,2009-09-24,20092010,214.0,13.0
01M015,2009-09-25,20092010,214.0,16.0
01M015,2009-09-29,20092010,215.0,27.0
01M015,2009-09-30,20092010,214.0,22.0
01M015,2009-10-01,20092010,214.0,14.0
01M015,2009-10-02,20092010,213.0,14.0
01M015,2009-10-05,20092010,213.0,14.0
01M015,2009-10-06,20092010,213.0,15.0
01M015,2009-10-07,20092010,213.0,11.0
01M015,2009-10-08,20092010,214.0,13.0
01M015,2009-10-09,20092010,214.0,23.0
01M015,2009-10-13,20092010,214.0,28.0
01M015,2009-10-14,20092010,212.0,20.0
01M015,2009-10-15,20092010,211.0,14.0
01M015,2009-10-16,20092010,211.0,27.0
01M015,2009-10-19,20092010,212.0,14.0
01M015,2009-10-20,20092010,211.0,17.0
01M015,2009-10-21,20092010,209.0,15.0
01M015,2009-10-22,20092010,210.0,19.0
01M015,2009-10-23,20092010,210.0,22.0
01M015,2009-10-26,20092010,210.0,9.0
01M015,2009-10-27,20092010,208.0,19.0
01M015,2009-10-28,20092010,208.0,26.0
01M015,2009-10-29,20092010,208.0,35.0
01M015,2009-10-30,20092010,208.0,27.0
01M015,2009-11-02,20092010,206.0,29.0
01M015,2009-11-04,20092010,206.0,28.0
01M015,2009-11-05,20092010,206.0,20.0
01M015,2009-11-06,20092010,206.0,24.0
01M015,2009-11-09,20092010,206.0,29.0
01M015,2009-11-10,20092010,207.0,48.0
01M015,2009-11-12,20092010,207.0,17.0
01M015,2009-11-13,20092010,210.0,24.0
01M015,2009-11-16,20092010,210.0,20.0
01M015,2009-11-17,20092010,213.0,14.0
01M015,2009-11-18,20092010,214.0,21.0
01M015,2009-11-19,20092010,214.0,22.0
01M015,2009-11-20,20092010,214.0,16.0
01M015,2009-11-23,20092010,214.0,15.0
01M015,2009-11-24,20092010,216.0,15.0
01M015,2009-11-25,20092010,216.0,35.0
01M015,2009-11-30,20092010,216.0,23.0
01M015,2009-12-01,20092010,215.0,17.0
01M015,2009-12-02,20092010,214.0,18.0
01M015,2009-12-03,20092010,214.0,26.0
01M015,2009-12-04,20092010,214.0,23.0
01M015,2009-12-07,20092010,212.0,17.0
01M015,2009-12-08,20092010,212.0,24.0
01M015,2009-12-09,20092010,212.0,37.0
01M015,2009-12-10,20092010,212.0,16.0
01M015,2009-12-11,20092010,212.0,13.0
01M015,2009-12-14,20092010,209.0,23.0
01M015,2009-12-15,20092010,209.0,26.0
01M015,2009-12-16,20092010,210.0,27.0
01M015,2009-12-17,20092010,210.0,26.0
01M015,2009-12-18,20092010,208.0,31.0
01M015,2009-12-21,20092010,206.0,28.0
01M015,2009-12-22,20092010,208.0,22.0
01M015,2009-12-23,20092010,208.0,35.0
01M015,2010-01-04,20092010,206.0,33.0
01M015,2010-01-05,20092010,205.0,19.0
01M015,2010-01-06,20092010,207.0,20.0
01M015,2010-01-07,20092010,207.0,18.0
01M015,2010-01-08,20092010,207.0,33.0
01M015,2010-01-11,20092010,205.0,16.0
01M015,2010-01-12,20092010,205.0,24.0
01M015,2010-01-13,20092010,206.0,22.0
01M015,2010-01-14,20092010,206.0,20.0
01M015,2010-01-15,20092010,205.0,29.0
01M015,2010-01-19,20092010,205.0,15.0
01M015,2010-01-20,20092010,205.0,19.0
01M015,2010-01-21,20092010,206.0,29.0
01M015,2010-01-22,20092010,206.0,24.0
01M015,2010-01-25,20092010,205.0,25.0
01M015,2010-01-26,20092010,205.0,26.0
01M015,2010-01-27,20092010,205.0,24.0
01M015,2010-01-28,20092010,205.0,15.0
01M015,2010-01-29,20092010,205.0,17.0
01M015,2010-02-01,20092010,205.0,15.0
01M015,2010-02-02,20092010,206.0,19.0
01M015,2010-02-03,20092010,207.0,24.0
01M015,2010-02-04,20092010,206.0,15.0
01M015,2010-02-05,20092010,209.0,18.0
01M015,2010-02-08,20092010,208.0,28.0
01M015,2010-02-09,20092010,209.0,19.0
01M015,2010-02-11,20092010,209.0,68.0
01M015,2010-02-12,20092010,209.0,26.0
01M015,2010-02-22,20092010,209.0,19.0
01M015,2010-02-23,20092010,213.0,19.0
01M015,2010-02-24,20092010,213.0,20.0
01M015,2010-02-25,20092010,215.0,43.0
01M015,2010-03-01,20092010,216.0,30.0
